Codigo Localidad,Localidad,TipoSector,Codigo Barrio,Barrio,BarrioAnt
18,RAFAEL URIBE URIBE,URBANO,2510,LA PICOTA ORIENTAL,
18,RAFAEL URIBE URIBE,URBANO,2511,LA PICOTA,
6,TUNJUELITO,URBANO,2512,AREA ARTILLERIA,
19,CIUDAD BOLIVAR,URBANO,2513,LAS ACACIAS,
19,CIUDAD BOLIVAR,URBANO,2514,MEISSEN,
19,CIUDAD BOLIVAR,URBANO,2515,SAN FRANCISCO,
19,CIUDAD BOLIVAR,URBANO,2516,MEXICO,
19,CIUDAD BOLIVAR,URBANO,2517,LUCERO DEL SUR,
19,CIUDAD BOLIVAR,URBANO,2518,RONDA,
5,USME,URBANO,2519,DANUBIO,
19,CIUDAD BOLIVAR,URBANO,2520,LAS MANAS,
19,CIUDAD BOLIVAR,URBANO,2521,LUCERO ALTO,
19,CIUDAD BOLIVAR,URBANO,2522,EL MOCHUELO ORIENTAL,
19,CIUDAD BOLIVAR,URBANO,2523,LA ALAMEDA,
5,USME,URBANO,2524,LA ANDREA,
5,USME,URBANO,2525,BARRANQUILLITA,
5,USME,URBANO,2526,SANTA LIBRADA,
5,USME,URBANO,2527,LA CABAÑA,
5,USME,URBANO,2528,SANTA LIBRADA NORTE,
5,USME,URBANO,2529,LA MARICHUELA,
19,CIUDAD BOLIVAR,URBANO,2530,QUIBA,
19,CIUDAD BOLIVAR,URBANO,2531,CANDELARIA LA NUEVA,
19,CIUDAD BOLIVAR,URBANO,2532,QUINTAS DEL SUR,
19,CIUDAD BOLIVAR,URBANO,2533,SOTAVENTO,
19,CIUDAD BOLIVAR,URBANO,2534,CASA DE TEJA,
18,RAFAEL URIBE URIBE,URBANO,2535,PALERMO SUR,
5,USME,URBANO,2536,MONTEBLANCO,
5,USME,URBANO,2537,CHUNIZA,
5,USME,URBANO,2538,USMINIA,
19,CIUDAD BOLIVAR,URBANO,2539,SAN RAFAEL,
19,CIUDAD BOLIVAR,URBANO,2540,ESTRELLA DEL SUR,
5,USME,URBANO,2541,GRANADA SUR,
5,USME,URBANO,2542,SERRANIAS,
5,USME,URBANO,2543,COMUNEROS,
19,CIUDAD BOLIVAR,URBANO,2544,LOS LAURELES II,
19,CIUDAD BOLIVAR,URBANO,2545,EL SATELITE,
19,CIUDAD BOLIVAR,URBANO,2546,NACIONES UNIDAS,
19,CIUDAD BOLIVAR,URBANO,2547,EL TESORO,
5,USME,URBANO,2548,EL VIRREY,
19,CIUDAD BOLIVAR,URBANO,2549,VILLA GLORIA,
5,USME,URBANO,2550,DUITAMA,
5,USME,URBANO,2551,ALASKA,
19,CIUDAD BOLIVAR,URBANO,2552,JUAN PABLO II,
19,CIUDAD BOLIVAR,URBANO,2553,SUMAPAZ,
19,CIUDAD BOLIVAR,URBANO,2554,GIBRALTAR SUR,
5,USME,URBANO,2555,SAN JUAN BAUTISTA,
5,USME,URBANO,2556,DESARROLLO BRAZUELOS I,
19,CIUDAD BOLIVAR,URBANO,2557,JUAN JOSE RONDON,
19,CIUDAD BOLIVAR,URBANO,2558,VILLAS EL DIAMANTE,
19,CIUDAD BOLIVAR,URBANO,2559,LOS ALPES SUR,
19,CIUDAD BOLIVAR,URBANO,2560,BELLAVISTA LUCERO ALTO,
19,CIUDAD BOLIVAR,URBANO,2561,CORDILLERA DEL SUR,
19,CIUDAD BOLIVAR,URBANO,2562,CENTRAL DE MEZCLAS,
5,USME,URBANO,2563,EL PEDREGAL,
19,CIUDAD BOLIVAR,URBANO,2564,EL MINUTO DE MARIA,
19,CIUDAD BOLIVAR,URBANO,2565,PARAISO QUIBA,
18,RAFAEL URIBE URIBE,URBANO,2566,LA PAZ,
19,CIUDAD BOLIVAR,URBANO,2568,ARBORIZADORA ALTA,
19,CIUDAD BOLIVAR,URBANO,2569,ARBORIZADORA ALTA,
19,CIUDAD BOLIVAR,URBANO,2570,EL MIRADOR,
5,USME,URBANO,2571,ANTONIO JOSE DE,
,,,,SUCRE,
5,USME,URBANO,2572,SALAZAR USME,
19,CIUDAD BOLIVAR,URBANO,2573,ARBORIZADORA ALTA,
19,CIUDAD BOLIVAR,URBANO,2574,CEDRITOS DEL SUR,
19,CIUDAD BOLIVAR,URBANO,2575,CERRO COLORADO,
5,USME,URBANO,2576,SERRANIAS I,
5,USME,URBANO,2577,DANUBIO II,
19,CIUDAD BOLIVAR,URBANO,2578,ARABIA,
19,CIUDAD BOLIVAR,URBANO,2579,VILLA CANDELARIA,
19,CIUDAD BOLIVAR,URBANO,2580,BELLA FLOR,
19,CIUDAD BOLIVAR,URBANO,2581,LA TORRE,
19,CIUDAD BOLIVAR,URBANO,2582,BELLA FLOR SUR,
19,CIUDAD BOLIVAR,URBANO,2583,QUIBA URBANO,
19,CIUDAD BOLIVAR,URBANO,2584,EL MOCHUELO,
19,CIUDAD BOLIVAR,URBANO,2585,EL MOCHUELO URBANO,
5,USME,URBANO,2586,YOMASA NORTE,
19,CIUDAD BOLIVAR,URBANO,2587,BRISAS DEL VOLADOR,
19,CIUDAD BOLIVAR,URBANO,2588,EL MOCHUELO III,
,,,,URBANO,
5,USME,URBANO,2589,PORVENIR,
5,USME,URBANO,2590,LA FISCALA,
19,CIUDAD BOLIVAR,URBANO,2591,BRAZUELOS,
,,,,OCCIDENTAL,
5,USME,URBANO,2592,DESARROLLO BRAZUELOS,
5,USME,URBANO,2593,TUNJUELITO,
5,USME,URBANO,2594,VILLA ISRAEL,
19,CIUDAD BOLIVAR,URBANO,2595,LAGUNITAS URBANO,
19,CIUDAD BOLIVAR,URBANO,2596,MOCHUELO ALTO,
5,USME,URBANO,2597,LA FISCALA NORTE,
19,CIUDAD BOLIVAR,URBANO,2598,EL MOCHUELO II,
,,,,URBANO,
5,USME,URBANO,2599,CENTRO USME URBANO,
5,USME,URBANO,2601,ARRAYANES I,
5,USME,URBANO,2602,FISCALA ALTA,
5,USME,URBANO,2604,LOS OLIVARES,
5,USME,URBANO,2605,BOLONIA,
5,USME,URBANO,2606,EL CURUBO,
5,USME,URBANO,2607,LA ESPERANZA SUR,
5,USME,URBANO,2608,EL BOSQUE CENTRAL I,
5,USME,URBANO,2609,EL BOSQUE,
5,USME,URBANO,2610,CHAPINERITO,
5,USME,URBANO,2611,CHARALA,
5,USME,URBANO,2612,LA COMUNA,
5,USME,URBANO,2613,EL PROGRESO USME,
5,USME,URBANO,2614,LA ORQUIDEA DE USME,
5,USME,URBANO,2615,LA ESPERANZA DE,
,,,,USME,
